importer,exporter,wheat_prev,soy_prev,maize_prev,rice_prev,wheat_cur,soy_cur,maize_cur,rice_cur,prev_year,year,norm_prev,norm_cur,theta,scale,m_comp,m_scale,comp_sq,scale_sq,share_comp,share_scale,rank,metric
Colombia,United States of America,681089.0,109884.0,645755.0,8463.0,730492.64,245244.12,3856484.93,13321.65,2013,2014,945001.5141633372,3932736.662575384,0.6245222131245429,2438869.0883693607,1523127.9205894696,1493867.5742060235,2319918662479.2017,2231640329264.189,0.03859280353179835,0.03394968637985054,4,comp
Mexico,United States of America,2944234.0,2819713.0,6601937.0,738212.0,2940224.75,3473333.38,10401943.3,597379.47,2013,2014,7794217.366614688,11369531.784410788,0.15424857014430293,9581874.575512737,1477990.4525748894,1787657.2088980498,2184455777902.5264,3195718296525.1655,0.03633932259090559,0.04861609306063752,5,comp
United States of America,Brazil,23.0,324523.0,1047549.0,0.0,0.0,1047772.04,1486.43,0.0,2013,2014,1096664.9832373604,1047773.0943672425,1.2689611649412431,1072219.0388023015,1360604.3205507484,24445.94443505892,1851244117101.3638,597604199.3219881,0.03079620921896478,9.09128360883882e-06,6,comp
Peru,United States of America,647397.0,0.0,220003.0,0.0,351054.72,51254.54,1698556.69,0.0,2013,2014,683757.4099181668,1735212.1695771518,1.0396607028132467,1209484.7897476593,1257453.8065509836,525727.3798294924,1581190075609.5583,276389277902.3834,0.026303748886272058,0.00420467813764287,7,comp
United States of America,Canada,3369022.0,581554.0,1342175.0,0.0,3425992.73,582221.23,311563.69,0.0,2013,2014,3672866.4585068976,3489051.4011120535,0.28468905029825553,3580958.9298094753,1019459.7968845171,91907.528697422,1039298277463.8208,8446993831.267449,0.017289155383678142,0.00012850314078999284,8,comp
"China, Taiwan Province of",United States of America,1030010.0,1031414.0,580765.0,0.0,987223.0,1356698.0,1853477.19,0.0,2013,2014,1569083.625789588,2500123.278717131,0.47276957397587444,2034603.4522533594,961898.6073316641,465519.8264637714,925248930786.5948,216708708830.85983,0.015391897475273518,0.0032967645386726965,9,comp
Viet Nam,Brazil,0.0,570911.0,779836.0,0.0,0.0,509615.71,2939045.12,0.0,2013,2014,966479.9826261277,2982900.3317701747,0.4602526201945064,1974690.157198151,908856.3189227508,1008210.1745720236,826019808445.8129,1016487756110.5502,0.013741180109588759,0.015463710740650376,10,comp
United States of America,Brazil,0.0,1047772.04,1486.43,0.0,0.0,805.78,211846.22,0.0,2014,2015,1047773.0943672425,211847.752430128,1.5655740801596822,629810.4233986853,986014.8742873768,417962.67096855724,972225332315.9514,174692794323.17044,0.12182541607093583,0.004329495448848581,1,comp
Mexico,United States of America,2940224.75,3473333.38,10401943.3,597379.47,2647499.35,3635104.43,11869090.81,646922.91,2014,2015,11369531.784410788,12708936.341518333,0.057211821520655286,12039234.06296456,688786.510455722,669702.2785537727,474426856985.77045,448501141900.115,0.05944840905331918,0.01111541927177468,2,comp
Indonesia,United States of America,989394.43,1874725.61,96530.94,0.0,389708.28,2206443.79,33831.89,0.0,2014,2015,2121983.9003352923,2240850.583754101,0.3121128583316756,2181417.2420446966,680848.3706285709,59433.34170940425,463554503787.57983,3532322106.7468114,0.05808604077508829,8.754323579446651e-05,3,comp
Japan,United States of America,2985916.05,1849019.02,12572356.07,0.0,2791322.97,2331557.02,11809228.74,0.0,2014,2015,13053685.423850048,12356598.45968958,0.04771363171183514,12705141.941769814,606208.4634561948,348543.4820802342,367488701165.9207,121482558900.61455,0.04604844415466951,0.003010760620736889,4,comp
