importer,exporter,wheat_prev,soy_prev,maize_prev,rice_prev,wheat_cur,soy_cur,maize_cur,rice_cur,prev_year,year,norm_prev,norm_cur,theta,scale,m_comp,m_scale,comp_sq,scale_sq,share_comp,share_scale,rank,metric
Belgium-Luxembourg,France,2046268.0,919.0,427230.0,1669.0,0.0,0.0,0.0,0.0,1999,2000,2090392.7455973434,0.0,0.0,1045196.3727986717,0.0,1045196.3727986717,0.0,1092435457711.4999,0.0,0.04840119448002101,5,scale
"China, mainland",Argentina,0.0,964043.0,45.0,0.0,0.0,2784314.0,872.0,0.0,1999,2000,964043.0010502643,2784314.136547814,0.000266504641757546,1874178.5687990393,499.4772880674583,910135.5677487749,249477.56129522272,828346751681.3848,2.0695047381795455e-08,0.03670054092624709,6,scale
Nigeria,United States of America,0.0,0.0,0.0,0.0,1336275.0,0.0,0.0,1.0,1999,2000,0.0,1336275.0000003742,0.0,668137.5000001871,0.0,668137.5000001871,0.0,446407718906.5,0.0,0.01977843786344963,7,scale
"China, mainland",Brazil,0.0,860105.0,0.0,0.0,0.0,2119545.0,6.0,0.0,1999,2000,860105.0,2119545.0000084923,2.830750024735473e-06,1489825.0000042461,4.217322155613545,629720.0000042461,17.78580616422888,396547278405.3478,1.4753956202761499e-12,0.01756933263849536,8,scale
Republic of Korea,Australia,90532.0,0.0,2418.0,0.0,1250692.0,36.0,5266.0,0.0,1999,2000,90564.28516805066,1250703.086634074,0.022492013993084484,670633.6859010623,15083.902247520518,580069.4007330118,227524107.01275456,336480509666.7554,1.8873930587920257e-05,0.014908028178831032,9,scale
Algeria,United States of America,565768.0,0.0,2433404.0,0.0,708220.0,0.0,1173760.0,0.0,1999,2000,2498309.1195926894,1370871.294469324,0.3144569280097296,1934590.2070310067,608345.2934606771,563718.9125616828,370083996075.7574,317779012379.72614,0.030699778345871877,0.014079443935370735,10,scale
Republic of Korea,"China, mainland",7.0,43440.0,6296496.0,0.0,339044.0,46872.0,2769417.0,0.0,2000,2001,6296645.846136259,2790487.1148616686,0.1222095351699609,4543566.480498964,555267.1475955936,1753079.3656372952,308321605198.9467,3073287262223.261,0.03886299244963028,0.22276650559426164,1,scale
"China, mainland",Argentina,0.0,2784314.0,872.0,0.0,0.0,5020380.0,7.0,0.0,2000,2001,2784314.136547814,5020380.00000488,0.00031178874036535964,3902347.068276347,1216.7078768863364,1118032.931728533,1480378.0576772564,1249997636429.4985,1.8659711258634204e-07,0.0906057851770893,2,scale
Canada,United States of America,24027.0,388312.0,1526150.0,314.0,51960.0,734197.0,3230948.0,305.0,2000,2001,1574959.5001678613,3313724.513012209,0.025708353819100083,2444342.0065900353,62840.00916030569,869382.5064221738,3948866751.2673035,755825942472.9011,0.0004977425394502374,0.054785865972181956,3,scale
Iran (Islamic Republic of),Canada,3356493.0,266662.0,322499.0,0.0,1670408.0,0.0,80495.0,0.0,2000,2001,3382478.305369304,1672346.3551217492,0.09215531029910783,2527412.3302455265,232914.46754756768,855065.9751237774,54249149192.96696,731137821814.3763,0.006837938827299359,0.05299635334302066,4,scale
Russian Federation,Kazakhstan,2262754.0,45.0,5687.0,0.0,826848.0,4.0,3704.0,0.0,2000,2001,2262761.1470303265,826856.2963030516,0.0019663864409806965,1544808.721666689,3037.6909241941,717952.4253636375,9227566.150931204,515455685085.5295,1.1631064044983392e-06,0.03736268430440588,5,scale
Nigeria,United States of America,1336275.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2000,2001,1336275.0000003742,0.0,0.0,668137.5000001871,0.0,668137.5000001871,0.0,446407718906.5,0.0,0.032357758688384586,6,scale
Iran (Islamic Republic of),Argentina,119317.0,0.0,0.0,0.0,1430215.0,0.0,0.0,0.0,2000,2001,119317.0,1430215.0,0.0,774766.0,0.0,655449.0,0.0,429613391601.0,0.0,0.031140425816954247,7,scale
Japan,United States of America,3175449.0,3608478.0,15532630.0,0.0,2891753.0,3645832.0,14216439.0,0.0,2000,2001,16259372.206361013,14958658.503554188,0.022432027127041006,15609015.3549576,350141.85586880846,650356.8514034124,122599319231.25343,422964034167.3602,0.015453268072276797,0.0306584487046463,8,scale
Republic of Korea,Brazil,0.0,125204.0,0.0,0.0,0.0,109515.0,1322403.0,0.0,2000,2001,125204.0,1326930.0017838168,1.488169728692761,726067.0008919084,1080510.931730078,600863.0008919084,1167503873588.2014,361036345840.8295,0.14716028153426136,0.02616963475692181,9,scale
Iran (Islamic Republic of),Brazil,0.0,275619.0,243410.0,0.0,0.0,522131.0,1406663.0,0.0,2000,2001,367714.9184640188,1500440.4609080628,0.49195387891851255,934077.6896860407,459523.1426522904,566362.771222022,211161518633.03723,320766788626.28845,0.026616261610966162,0.023250705357519698,10,scale
Republic of Korea,"China, mainland",339044.0,46872.0,2769417.0,0.0,569943.0,52327.0,6035325.0,0.0,2001,2002,2790487.1148616686,6062402.246123479,0.028840853167959236,4426444.680492573,127662.44108618055,1635957.565630905,16297698864.08252,2676357156544.997,0.002400162162838609,0.20057190737683211,1,scale
"China, mainland",Argentina,0.0,5020380.0,7.0,0.0,0.0,2774135.0,11.0,0.0,2001,2002,5020380.00000488,2774135.000021809,2.5709145755561477e-06,3897257.5000133445,10.01951611147982,1123122.4999915357,100.3907031082037,1261404149987.237,1.478453916166645e-11,0.09453231446231981,2,scale
Spain,Ukraine,796003.0,0.0,0.0,0.0,2797410.0,0.0,3437.0,0.0,2001,2002,796003.0,2797412.111411009,0.0012286358705436843,1796707.5557055045,2207.4993518166475,1000704.5557055045,4873053.388270919,1001409607809.7511,7.176545877772159e-07,0.07504776954477087,3,scale
Republic of Korea,United States of America,1421360.0,1198606.0,3359773.0,0.0,1252322.0,1228576.0,982954.0,0.0,2001,2002,3839921.249760859,2010947.027043726,0.5569008579113931,2925434.1384022925,1629176.781439514,914487.1113585666,2654216985181.614,836286676840.9353,0.39088654373386006,0.06267310529823104,4,scale
Italy,Russian Federation,343678.0,0.0,0.0,0.0,1900984.0,0.0,0.0,0.0,2001,2002,343678.0,1900984.0,0.0,1122331.0,0.0,778653.0,0.0,606300494409.0,0.0,0.045437450793793153,5,scale
Malaysia,"China, mainland",0.0,2231.0,907189.0,0.0,35201.0,24621.0,2310886.0,0.0,2001,2002,907191.7432836347,2311285.228836545,0.01729510357464521,1609238.4860600897,27831.9462927145,702046.7427764551,774617234.4405444,492869629043.03015,0.00011407788254599971,0.03693670007514567,6,scale
Brazil,Argentina,6790912.0,0.0,323317.0,177798.0,5422944.0,0.0,30837.0,121783.0,2001,2002,6800928.745622689,5424398.920322324,0.04203815286111237,6112663.832972506,256965.09659909128,688264.9126501824,66031060870.18031,473708589985.36316,0.009724394541488036,0.03550073098495162,7,scale
Iran (Islamic Republic of),Canada,1670408.0,0.0,80495.0,0.0,530180.0,0.0,154815.0,0.0,2001,2002,1672346.3551217492,552321.0267815267,0.235953945466783,1112333.690951638,262459.5230556682,560012.6641701113,68885001242.60884,313614184030.9059,0.010144694349088271,0.023502915116422756,8,scale
"China, mainland",United States of America,225656.0,5726388.0,119.0,0.0,161683.0,4618411.0,47.0,0.0,2001,2002,5730832.415194236,4621240.262052926,0.004391905867125119,5176036.338623581,22732.664364053726,554796.0765706548,516774029.0887182,307798686578.19183,7.61053128849933e-05,0.02306708934721124,9,scale
Egypt,Russian Federation,19734.0,0.0,0.0,0.0,1104198.0,0.0,2762.0,0.0,2001,2002,19734.0,1104201.4543768724,0.002501357763345245,561967.7271884362,1405.6823371522776,542233.7271884362,1975942.8329818894,294017414900.66345,2.9099710721169e-07,0.022034291486252914,10,scale
"China, mainland",United States of America,161683.0,4618411.0,47.0,0.0,213294.0,8293094.0,33.0,0.0,2002,2003,4621240.262052926,8295836.4511579545,0.009280268452268675,6458538.35660544,59936.969758572646,1837298.0945525141,3592440343.840052,3375664288246.2993,0.000658080393220616,0.1788988458813421,1,scale
"China, mainland",Argentina,0.0,2774135.0,11.0,0.0,0.0,5963921.0,4.0,0.0,2002,2003,2774135.000021809,5963921.000001341,3.2945048692254613e-06,4369028.0000115745,14.393784019820512,1594892.9999897662,207.18101840924032,2543683681416.3564,3.7952409229671806e-11,0.13480667389736206,2,scale
Spain,Ukraine,2797410.0,0.0,3437.0,0.0,50850.0,0.0,36049.0,0.0,2002,2003,2797412.111411009,62331.79686965554,0.6154643231780299,1429871.9541403323,880035.1744862266,1367540.1572706767,774461908333.0034,1870166081747.9072,0.14186963411767745,0.09911250795763994,3,scale
"China, mainland",Brazil,0.0,3909441.0,0.0,0.0,0.0,6470159.0,0.0,0.0,2002,2003,3909441.0,6470159.0,0.0,5189800.0,0.0,1280359.0,0.0,1639319168881.0,0.0,0.08687839853184291,4,scale
Republic of Korea,"China, mainland",569943.0,52327.0,6035325.0,0.0,799349.0,53326.0,7774664.0,0.0,2002,2003,6062402.246123479,7815830.269329868,0.008493858988768812,6939116.257726673,58939.8749998035,876714.0116031948,3473908864.992461,768627458141.3667,0.000636367230372193,0.040734668329722,5,scale
Ukraine,Kazakhstan,0.0,0.0,0.0,0.0,1528777.0,0.0,0.0,0.0,2002,2003,0.0,1528777.0,0.0,764388.5,0.0,764388.5,0.0,584289778932.25,0.0,0.030965391752729082,6,scale
Philippines,United States of America,1439910.0,168397.0,160673.0,0.0,0.0,0.0,0.0,0.0,2002,2003,1458600.0722055377,0.0,0.0,729300.0361027688,0.0,729300.0361027688,0.0,531878542659.49994,0.0,0.02818777262956668,7,scale
Iran (Islamic Republic of),"China, mainland",0.0,0.0,0.0,0.0,0.0,0.0,1309719.0,0.0,2002,2003,0.0,1309719.0,0.0,654859.5,0.0,654859.5,0.0,428840964740.25,0.0,0.022727127791054312,8,scale
