importer,exporter,value
Netherlands (Kingdom of the),"China, Hong Kong SAR",2.6
Ireland,Germany,2.57
Norway,India,2.54
"China, Hong Kong SAR",Indonesia,2.5
France,Poland,2.47
Cyprus,United Kingdom of Great Britain and Northern Ireland,2.45
United Arab Emirates,Italy,2.43
United States of America,Republic of Korea,2.42
Norway,Sweden,2.33
Madagascar,South Africa,2.33
United Kingdom of Great Britain and Northern Ireland,Nepal,2.32
Kuwait,Belgium,2.31
Cyprus,Belgium,2.3
Montenegro,"China, mainland",2.24
Lebanon,India,2.22
"China, Macao SAR",Italy,2.22
Lebanon,Italy,2.18
Malaysia,Japan,2.15
Netherlands (Kingdom of the),Uganda,2.15
Sri Lanka,"China, mainland",2.14
Kuwait,Egypt,2.14
Austria,Serbia,2.1
Croatia,Canada,2.1
Oman,United Republic of Tanzania,2.08
Sweden,United States of America,2.05
United Kingdom of Great Britain and Northern Ireland,Viet Nam,2.05
Indonesia,Viet Nam,2.0
Namibia,Zambia,2.0
United Arab Emirates,Australia,1.95
Kyrgyzstan,"China, mainland",1.94
Guatemala,United States of America,1.8
Philippines,Japan,1.78
North Macedonia,"China, mainland",1.65
North Macedonia,Austria,1.64
Malawi,South Africa,1.62
United States of America,Guatemala,1.55
Malta,Netherlands (Kingdom of the),1.51
United States of America,France,1.5
Saudi Arabia,Bahrain,1.49
Israel,Chile,1.48
Fiji,"China, mainland",1.39
Maldives,United Arab Emirates,1.37
Singapore,Australia,1.34
France,Thailand,1.27
Côte d'Ivoire,France,1.27
United Kingdom of Great Britain and Northern Ireland,Iran (Islamic Republic of),1.26
Bahrain,United Arab Emirates,1.25
Seychelles,United Arab Emirates,1.24
Iceland,India,1.22
Türkiye,India,1.2
United Arab Emirates,Saudi Arabia,1.19
France,Mauritius,1.19
Iceland,Viet Nam,1.17
Malta,Italy,1.16
France,Morocco,1.16
Azerbaijan,India,1.13
Greece,Germany,1.13
Malawi,Zimbabwe,1.1
Romania,Latvia,1.1
Canada,Suriname,1.1
New Zealand,India,1.08
Suriname,Brazil,1.07
Norway,Italy,1.02
Niger,Côte d'Ivoire,1.0
France,Hungary,1.0
Maldives,"China, mainland",1.0
Botswana,India,1.0
Guyana,Canada,1.0
Bosnia and Herzegovina,Canada,1.0
Indonesia,Japan,1.0
Switzerland,India,0.99
France,Denmark,0.99
Montenegro,Türkiye,0.95
Norway,Viet Nam,0.95
Czechia,Viet Nam,0.92
Bulgaria,Germany,0.92
Singapore,India,0.9
Jordan,Japan,0.9
Armenia,India,0.9
Croatia,Denmark,0.88
Antigua and Barbuda,United States of America,0.87
Germany,Paraguay,0.86
Netherlands (Kingdom of the),Kazakhstan,0.84
Portugal,Belgium,0.83
Netherlands (Kingdom of the),Thailand,0.83
Canada,France,0.83
United States of America,"China, Hong Kong SAR",0.81
Netherlands (Kingdom of the),Ghana,0.81
Republic of Moldova,Germany,0.8
Cyprus,Netherlands (Kingdom of the),0.78
United Kingdom of Great Britain and Northern Ireland,Czechia,0.77
Portugal,Austria,0.76
Sweden,Kenya,0.75
France,United Arab Emirates,0.71
Germany,Thailand,0.71
Slovakia,Denmark,0.7
Oman,Sri Lanka,0.7
Georgia,Germany,0.7
Netherlands (Kingdom of the),Ethiopia,0.69
Lebanon,"China, mainland",0.65
Austria,Denmark,0.65
Cabo Verde,Portugal,0.64
Azerbaijan,Belgium,0.63
Singapore,Italy,0.61
Grenada,United States of America,0.61
Netherlands (Kingdom of the),Peru,0.61
New Zealand,Thailand,0.59
Canada,Democratic Republic of the Congo,0.56
Ethiopia,"China, mainland",0.56
Kazakhstan,Tajikistan,0.55
Guyana,Trinidad and Tobago,0.55
Denmark,Sri Lanka,0.54
Maldives,India,0.54
Cyprus,Sri Lanka,0.51
Republic of Moldova,Türkiye,0.5
Lithuania,Estonia,0.5
Brunei Darussalam,India,0.5
Italy,Denmark,0.5
Switzerland,Sri Lanka,0.49
France,Kenya,0.49
Austria,United States of America,0.48
Saudi Arabia,Thailand,0.48
Jordan,United Arab Emirates,0.48
Netherlands (Kingdom of the),Colombia,0.47
United Kingdom of Great Britain and Northern Ireland,"China, Hong Kong SAR",0.46
Belgium,Chile,0.46
Italy,Switzerland,0.46
Bahamas,Brazil,0.45
Germany,Argentina,0.45
Netherlands (Kingdom of the),South Africa,0.44
Madagascar,"China, mainland",0.42
Sweden,India,0.4
Zambia,India,0.4
Switzerland,Iran (Islamic Republic of),0.4
Canada,"China, Hong Kong SAR",0.4
Netherlands (Kingdom of the),Malta,0.4
Sweden,Viet Nam,0.39
Canada,Mexico,0.39
Kuwait,"China, Taiwan Province of",0.39
Netherlands (Kingdom of the),Russian Federation,0.39
Estonia,Finland,0.38
Mozambique,Portugal,0.37
Netherlands (Kingdom of the),Rwanda,0.35
Portugal,"China, mainland",0.35
New Zealand,Japan,0.34
Austria,Japan,0.33
Netherlands (Kingdom of the),Lebanon,0.33
Netherlands (Kingdom of the),Kenya,0.32
