importer,exporter,value
United Kingdom of Great Britain and Northern Ireland,Netherlands (Kingdom of the),211.52
Kyrgyzstan,Russian Federation,203.1
Germany,Croatia,201.71
Colombia,Brazil,200.24
Republic of Korea,Austria,199.61
United Kingdom of Great Britain and Northern Ireland,Romania,192.05
Singapore,"China, mainland",190.47
South Africa,Argentina,188.94
Ireland,Canada,186.82
Mauritius,Canada,184.12
Brazil,Bolivia (Plurinational State of),180.0
Denmark,Austria,178.44
Czechia,Belgium,178.2
Lithuania,Austria,177.88
Sweden,Canada,170.36
Romania,France,170.36
Rwanda,Zambia,166.0
Croatia,France,165.1
India,Uganda,164.56
Rwanda,Democratic Republic of the Congo,164.46
Angola,South Africa,162.47
Azerbaijan,Türkiye,162.1
Netherlands (Kingdom of the),Viet Nam,155.42
Netherlands (Kingdom of the),Spain,153.93
Greece,Italy,153.59
United Kingdom of Great Britain and Northern Ireland,Spain,152.6
Switzerland,"China, mainland",152.42
Spain,Belgium,146.02
Hungary,"China, mainland",145.48
Hungary,Serbia,142.8
Czechia,France,142.17
Israel,France,138.31
Ukraine,Austria,136.69
Lithuania,Belgium,135.0
Spain,Austria,133.68
Indonesia,Uruguay,132.09
"China, Taiwan Province of",Myanmar,132.0
Zambia,South Africa,128.68
Romania,Slovenia,128.39
Malawi,South Africa,128.0
Armenia,Russian Federation,121.72
Zimbabwe,Malawi,120.0
Suriname,Canada,120.0
United Kingdom of Great Britain and Northern Ireland,Austria,117.61
Latvia,Netherlands (Kingdom of the),117.51
France,Czechia,117.17
"China, Taiwan Province of",Togo,115.0
Italy,Greece,111.62
Montenegro,Serbia,108.08
Seychelles,India,107.49
Thailand,"China, mainland",107.24
United States of America,Uganda,105.0
France,Serbia,102.47
Lithuania,Canada,102.0
Seychelles,Pakistan,101.91
Seychelles,United Arab Emirates,101.57
Poland,France,100.2
Thailand,Ukraine,99.95
Ireland,Poland,99.07
Nepal,United Republic of Tanzania,96.0
Ukraine,Romania,95.99
United States of America,Netherlands (Kingdom of the),94.51
Republic of Korea,Ukraine,93.0
Nepal,"China, mainland",92.5
Netherlands (Kingdom of the),Ireland,91.65
Czechia,Hungary,87.53
Kyrgyzstan,Kazakhstan,84.0
Kenya,Uganda,84.0
New Zealand,"China, mainland",83.95
Canada,Japan,83.65
Philippines,Malawi,82.7
Poland,Czechia,81.5
Ukraine,Serbia,76.0
Republic of Korea,Paraguay,74.89
Ireland,France,73.74
Sweden,France,73.33
United Arab Emirates,Mozambique,72.14
Namibia,South Africa,71.31
Ukraine,Belarus,70.3
Lithuania,France,70.23
Thailand,India,69.17
Brunei Darussalam,Malaysia,68.88
Portugal,Netherlands (Kingdom of the),68.12
Guatemala,Nicaragua,68.04
Brunei Darussalam,Singapore,66.9
"China, Hong Kong SAR",Japan,64.64
Denmark,Sweden,64.07
Greece,Belgium,63.03
Trinidad and Tobago,Canada,61.8
Netherlands (Kingdom of the),Czechia,61.41
Jordan,"China, Taiwan Province of",61.32
"China, Taiwan Province of",Japan,60.3
Rwanda,Uganda,57.47
Spain,"China, Taiwan Province of",57.18
Ireland,Netherlands (Kingdom of the),56.11
"China, Macao SAR","China, mainland",55.7
United States of America,France,55.13
Chile,Bolivia (Plurinational State of),55.0
United States of America,Italy,54.86
Netherlands (Kingdom of the),Sweden,53.65
Switzerland,Hungary,52.96
Colombia,"China, mainland",52.8
Ukraine,Republic of Moldova,52.0
Georgia,Russian Federation,52.0
Germany,Slovenia,51.14
United Arab Emirates,Nigeria,51.04
